beta,avg_baseline_cost,avg_ils_cost,avg_improvement_pct,num_instances
0.5,1003.6837345911338,947.1517652897801,19.511476259428633,36
1,19833.714873387777,19834.8114491289,15.597096104780839,36
2,14576803.07405079,6319355.827031285,50.27557879177651,36
4,22437732536931.58,1456583649031.497,82.2503141593942,36
