n_cities,avg_baseline_cost,avg_ils_cost,avg_improvement_pct,num_instances
10,2986438281837.603,631766608410.2899,36.306232484040684,48
50,3265611768405.7065,399909098287.9427,35.28369271595975,48
100,10576260300685.727,60766785178.73281,54.1359237865347,48
